id,submission_time,vote_number,question_id,message,image
1,1493398154,29,1,dunno how man. Imi edited this too. twice,
2,1493088154,11,1,Look it up in the Python docs,
0,1643723179.2301,-89,1,new message.,
0,1643728011.0751631,-71,4,dunno how man,
4,1643729197.630688,-6,4,What is this?,
6,1643836595.3808382,2,5,Do you use a previous version of the site?,
7,1643836650.6136422,2,5,Were all of the refactoring correct?,
8,1643836756.1250334,4,5,Answer to cat picture.,
9,1643837092.2089403,-2,5,Really?,
10,1643882481.169688,2,6,Add new answer.,
11,1643884634.645138,2,7,Yes.,images/A_11.jpg
12,1643894720.0585206,3,8,Answer to cat picture.,
13,1644487944.5003886,10,9,"Add this answer.
And I am proud of you.
Edit dis anwer.",
14,1644489191.3304176,4,9,"Put this on the frigde.
Thanks.",
